i,j,cio,ym
AFLT3,AFLU3,1,201701
BAZA3,BNBR3,0.995455987387621,201701
BMEB4,BOBR4,1,201701
BMEB4,BPAN4,1,201701
BOBR4,BPAN4,1,201701
AGRO3,BRIN3,0.99914190690676,201701
BMEB4,BRIV3,0.991380522899496,201701
BOBR4,BRIV3,0.991380522899496,201701
BPAN4,BRIV3,0.991380522899496,201701
AGRO3,BRKM3,0.999122468680226,201701
BRIN3,BRKM3,0.99826512859055,201701
BRGE3,CCXC3,0.935886866564924,201701
BMEB4,CEBR5,0.999999264841492,201701
BOBR4,CEBR5,0.999999264841492,201701
BPAN4,CEBR5,0.999999264841492,201701
BRIV3,CEBR5,0.99137979407767,201701
AFLT3,CEEB3,1,201701
AFLU3,CEEB3,1,201701
AFLT3,CEED3,1,201701
AFLU3,CEED3,1,201701
CEEB3,CEED3,1,201701
AFLT3,CEED4,1,201701
AFLU3,CEED4,1,201701
CEEB3,CEED4,1,201701
CEED3,CEED4,1,201701
AFLT3,CEPE3,1,201701
AFLU3,CEPE3,1,201701
CEEB3,CEPE3,1,201701
CEED3,CEPE3,1,201701
CEED4,CEPE3,1,201701
CEPE5,CEPE6,0.88382430513068,201701
BMEB4,CESP3,0.991175161481147,201701
BOBR4,CESP3,0.991175161481147,201701
BPAN4,CESP3,0.991175161481147,201701
BRIV3,CESP3,0.982634552321943,201701
CEBR5,CESP3,0.991174432810294,201701
ALPA4,CGAS5,0.904797797488206,201701
BRGE3,CGRA3,0.998845984632867,201701
CCXC3,CGRA3,0.934806838739011,201701
BTTL4,CGRA4,0.999078182924523,201701
AGRO3,CPRE3,0.997883946728253,201701
BRIN3,CPRE3,0.997028409029051,201701
BRKM3,CPRE3,0.9970082723115,201701
CELP3,CRDE3,0.928562502487793,201701
BRGE3,CRIV3,1,201701
CCXC3,CRIV3,0.935886866564924,201701
CGRA3,CRIV3,0.998845984632867,201701
AFLT3,CSRN3,1,201701
AFLU3,CSRN3,1,201701
CEEB3,CSRN3,1,201701
CEED3,CSRN3,1,201701
CEED4,CSRN3,1,201701
CEPE3,CSRN3,1,201701
AFLT3,CSRN5,1,201701
AFLU3,CSRN5,1,201701
CEEB3,CSRN5,1,201701
CEED3,CSRN5,1,201701
CEED4,CSRN5,1,201701
CEPE3,CSRN5,1,201701
CSRN3,CSRN5,1,201701
BRGE3,CTNM4,0.999141733997841,201701
CCXC3,CTNM4,0.935083626685485,201701
CGRA3,CTNM4,0.997988709082865,201701
CRIV3,CTNM4,0.999141733997841,201701
AFLT3,EEEL3,1,201701
AFLU3,EEEL3,1,201701
CEEB3,EEEL3,1,201701
CEED3,EEEL3,1,201701
CEED4,EEEL3,1,201701
CEPE3,EEEL3,1,201701
CSRN3,EEEL3,1,201701
CSRN5,EEEL3,1,201701
AFLT3,EEEL4,1,201701
AFLU3,EEEL4,1,201701
CEEB3,EEEL4,1,201701
CEED3,EEEL4,1,201701
CEED4,EEEL4,1,201701
CEPE3,EEEL4,1,201701
CSRN3,EEEL4,1,201701
CSRN5,EEEL4,1,201701
EEEL3,EEEL4,1,201701
ALPA4,ENBR3,0.966465409964109,201701
CGAS5,ENBR3,0.874121300556875,201701
ALPA3,ENGI4,0.999998279238589,201701
ALPA3,ENMT3,0.99401471635038,201701
ENGI4,ENMT3,0.994118555218421,201701
ALPA3,ENMT4,0.998566409794594,201701
ENGI4,ENMT4,0.998647058105431,201701
ENMT3,ENMT4,0.997711830433821,201701
CPLE3,EUCA4,0.959796865197923,201701
BTTL4,FESA4,0.962790393720011,201701
CGRA4,FESA4,0.963042340529172,201701
GEPA3,GEPA4,1,201701
EUCA4,GGBR3,0.875675316749119,201701
CTNM3,GSHP3,0.999995141285847,201701
BMEB4,GUAR4,0.962634730823352,201701
BOBR4,GUAR4,0.962634730823352,201701
BPAN4,GUAR4,0.962634730823352,201701
BRIV3,GUAR4,0.954718658338663,201701
CEBR5,GUAR4,0.96263402313424,201701
CESP3,GUAR4,0.954150418485371,201701
ENEV3,HYPE3,0.935113168288266,201701
BPHA3,IGBR3,0.999993831545468,201701
CTNM3,INEP3,0.999037849875157,201701
GSHP3,INEP3,0.999159612364178,201701
CTNM3,INEP4,0.999994846812248,201701
GSHP3,INEP4,0.999999891596574,201701
INEP3,INEP4,0.999164468962497,201701
AGRO3,ITSA3,0.916229472616494,201701
BRIN3,ITSA3,0.915443262434219,201701
BRKM3,ITSA3,0.915425908621845,201701
CPRE3,ITSA3,0.914290682243293,201701
BRGE3,JOPA3,1,201701
CCXC3,JOPA3,0.935886866564925,201701
CGRA3,JOPA3,0.998845984632868,201701
CRIV3,JOPA3,1,201701
CTNM4,JOPA3,0.999141733997842,201701
FRAS3,JSLG3,0.996868212966362,201701
KLBN3,KLBN4,0.996145145943311,201701
BRGE3,LLIS3,0.935886866564924,201701
CCXC3,LLIS3,1,201701
CGRA3,LLIS3,0.934806838739011,201701
CRIV3,LLIS3,0.935886866564924,201701
